iid,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
100430692,1.0,1.0,2.0,3.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,1.0,2.0
100430742,1.0,1.0,1.0,2.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,1.0,2.0
100430850,1.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0
100430885,1.0,1.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,5.0,1.0,2.0,3.0,1.0
100430919,1.0,1.0,2.0,3.0,4.0,5.0,1.0,2.0,1.0,2.0,3.0,4.0,1.0,2.0,1.0
100431073,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,1.0,1.0
100431166,1.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,1.0
100431255,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0
100431404,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,4.0,5.0,1.0,2.0,3.0,4.0,5.0
100432267,1.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,1.0,2.0,1.0
100432297,1.0,1.0,2.0,3.0,4.0,5.0,1.0,2.0,3.0,4.0,5.0,6.0,1.0,2.0,3.0
100432554,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,1.0,2.0,3.0,1.0,2.0,3.0,4.0
100432743,1.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,3.0,4.0,5.0,1.0
100432788,1.0,1.0,2.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0
100432926,1.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,4.0,5.0,6.0
